,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2009Q3,263274.0,15487.0,16999677.148576226,,
1,2009Q4,292153.0,17185.0,17000465.522257783,788.3736815564334,0.004637365256405825
2,2010Q1,269630.0,15861.0,16999558.665910095,-906.8563476875424,-0.005334587594359719
3,2010Q2,292757.0,17221.0,17000000.0,441.3340899050236,0.0025960828817942565
4,2010Q3,312301.0,18371.0,16999673.398290783,-326.6017092168331,-0.001921223435090647
5,2010Q4,333982.0,17860.0,18700000.0,1700326.6017092168,9.092655624113458
6,2011Q1,310668.0,16613.0,18700294.949738156,294.94973815605044,0.001577246449581697
7,2011Q2,336128.0,17975.0,18699749.652294856,-545.2974433004856,-0.0029160681476479875
8,2011Q3,351836.0,18815.0,18699760.8291257,11.176830843091011,5.976991334393222e-05
9,2011Q4,413987.0,19766.0,20944399.473843973,2244638.6447182745,10.717130598666484
10,2012Q1,391684.0,18702.0,20943428.51031975,-970.963524222374,-0.0046361249961721284
11,2012Q2,407193.0,19442.0,20943987.24411069,558.7337909378111,0.0026677527274321816
12,2012Q3,409775.0,19565.0,20944288.269869667,301.0257589779794,0.0014372689828330589
13,2012Q4,388215.0,18536.0,20943839.015968926,-449.25390074029565,-0.002145040841833036
14,2013Q1,391171.0,18677.0,20943995.288322534,156.2723536081612,0.0007461439494082197
15,2013Q2,416554.0,19889.0,20943938.860676754,-56.42764578014612,-0.0002694223190561911
16,2013Q3,438789.0,20951.0,20943582.6452198,-356.21545695513487,-0.0017008334390030356
17,2013Q4,464107.0,22160.0,20943456.67870036,-125.96651943773031,-0.0006014600233868706
18,2014Q1,444873.0,21241.0,20944070.429829106,613.751128744334,0.0029304290720404244
19,2014Q2,466572.0,22277.0,20944112.76204157,42.33221246302128,0.00020211986510950615
20,2014Q3,491570.0,23471.0,20943717.77938733,-394.98265423998237,-0.0018859242585321778
21,2014Q4,513826.0,24533.0,20944279.13422737,561.3548400402069,0.0026802299398446935
22,2015Q1,533474.0,25472.0,20943545.854271356,-733.2799560129642,-0.003501221622714926
23,2015Q2,561532.0,26811.0,20944090.112267353,544.2579959966242,0.002598623254002531
24,2015Q3,511295.0,24413.0,20943554.663498957,-535.4487683959305,-0.002556627931595234
25,2015Q4,532477.0,25424.0,20943871.932032727,317.268533769995,0.0015148513837345747
26,2016Q1,517964.0,24731.0,20943916.541991834,44.60995910689235,0.00021299721576645376
27,2016Q2,540019.0,25784.0,20943957.493018925,40.95102709159255,0.0001955266911959806
28,2016Q3,560331.0,26754.0,20943821.48463781,-136.00838111341,-0.000649396201228947
29,2016Q4,587484.0,28050.0,20944171.122994654,349.6383568421006,0.0016693826401095045
30,2017Q1,602230.0,28754.0,20944216.456840787,45.333846133202314,0.00021645042786212898
31,2017Q2,591717.0,28252.0,20944251.734390486,35.27754969894886,0.0001684354740686347
32,2017Q3,617111.0,29465.0,20943865.603258103,-386.1311323828995,-0.001843647871397874
33,2017Q4,640578.0,30585.0,20944188.327611573,322.72435346990824,0.0015408778245392667
34,2018Q1,657527.0,31395.0,20943685.300207037,-503.0274045355618,-0.002401809410928215
35,2018Q2,642295.0,30667.0,20944174.519842174,489.2196351364255,0.0023358267697442393
36,2018Q3,664125.0,31710.0,20943708.609271523,-465.9105706512928,-0.0022245848590781094
37,2018Q4,684799.0,32697.0,20943786.89176377,78.2824922464788,0.00037377429712705734
38,2019Q1,701627.0,33500.0,20944089.552238807,302.660475037992,0.0014450877622686601
39,2019Q2,678405.0,32392.0,20943597.18449,-492.3677488081157,-0.0023509225491251512
40,2019Q3,700576.0,33450.0,20943976.083707027,378.8992170281708,0.0018091083350831763
41,2019Q4,726096.0,34669.0,20943667.25316565,-308.8305413760245,-0.0014745771962612923
42,2020Q1,790883.0,26224.0,30158747.712019525,9215080.458853874,30.555249000545466
43,2020Q2,740351.0,24549.0,30158091.979306694,-655.7327128313482,-0.002174317636809671
44,2020Q3,602455.0,19976.0,30158940.72887465,848.7495679557323,0.002814255233915182
45,2020Q4,634524.0,21040.0,30157984.790874526,-955.9380001239479,-0.003169767498567093
46,2021Q1,654483.0,21701.0,30159117.09137828,1132.3005037531257,0.003754421922639179
47,2021Q2,538399.0,17852.0,30159029.80058257,-87.29079570993781,-0.0002894350258848567
48,2021Q3,559735.0,18560.0,30158135.775862068,-894.0247205011547,-0.0029644561823901367
49,2021Q4,579383.0,19211.0,30158919.369111445,783.5932493768632,0.0025982139472126246
50,2022Q1,597389.0,19808.0,30158976.171243943,56.80213249847293,0.00018834237666407513
51,2022Q2,511294.0,16954.0,30157720.89182494,-1255.2794190049171,-0.004162381578858614
