quarter,change_perc_mean,change_perc_stdv
2006Q4,-3.3000000000000003,5.715767664977295
2007Q1,-0.2625862068965517,5.915551778432439
2007Q2,-0.4975409836065574,3.6618067743204334
2007Q3,-0.391875,3.5434387723415424
2007Q4,1.0756923076923077,6.294450673319012
2008Q1,-2.0427586206896553,5.6096517054540325
2008Q2,-0.8789999999999999,2.3139186074782097
2008Q3,0.95515625,4.721721165936126
2008Q4,-0.3701515151515151,4.372035432478084
2009Q1,0.3774137931034483,2.858768941495456
2009Q2,0.6143548387096774,4.188498154477111
2009Q3,0.34630769230769226,3.2117472703882157
2009Q4,0.05666666666666667,4.262762316163378
2010Q1,0.07586206896551727,3.765867498429675
2010Q2,0.3640322580645161,4.27797388065104
2010Q3,-0.166875,3.8620760413547464
2010Q4,0.03242424242424245,3.11206884470323
2011Q1,-0.037017543859649116,3.6236243522356566
2011Q2,-0.13114754098360656,3.5850955814132552
2011Q3,0.016923076923076864,3.8076050227952196
2011Q4,-0.017384615384615377,3.6104701377223183
2012Q1,0.4494915254237287,3.5104388289042534
2012Q2,0.33661290322580645,3.119386732260774
2012Q3,0.05281250000000002,2.58495062662007
2012Q4,0.3896923076923077,2.331760312263281
2013Q1,0.2587931034482759,1.9701180635974604
2013Q2,0.3201639344262295,1.9120691164314458
2013Q3,0.23081632653061226,3.1803981909599344
2013Q4,0.593015873015873,1.927021464735262
2014Q1,-0.04642857142857144,1.61480697250215
2014Q2,0.07622950819672132,2.5819173521076846
2014Q3,0.14734375,1.9325131611597255
2014Q4,0.2767692307692308,3.016363760645997
2015Q1,0.11232142857142857,3.00979491362417
2015Q2,0.23983606557377055,4.035445655605371
2015Q3,0.46092307692307694,2.4251273955434556
2015Q4,-0.1298484848484849,4.472463610351765
2016Q1,0.0005084745762711982,4.137208964127626
2016Q2,0.3167741935483871,3.0284946074774224
2016Q3,-0.06015384615384616,3.21135412068827
2016Q4,0.8276923076923076,2.3830211715060687
2017Q1,-0.2032203389830508,4.823834302880662
2017Q2,0.34500000000000003,3.5011032219133167
2017Q3,-0.05750000000000002,3.9919804529215757
2017Q4,-0.02707692307692306,3.4857131278427635
2018Q1,0.08813559322033898,2.0966685188291474
2018Q2,-0.4522580645161291,3.688096234366762
2018Q3,0.23171875,5.001332696895867
2018Q4,-0.4075384615384615,4.411232123358942
2019Q1,0.18431034482758618,4.172380830740791
2019Q2,0.05557377049180329,3.373127887974881
2019Q3,-0.45953846153846156,4.793396965738791
2019Q4,0.21590909090909083,5.35488532586337
2020Q1,0.6805084745762712,6.457868609562695
2020Q2,-0.061612903225806454,4.787294384078629
2020Q3,0.15846153846153846,4.795314845883828
2020Q4,0.40727272727272723,3.7613567705343707
2021Q1,0.18603448275862072,3.50996723114367
2021Q2,0.14177419354838708,2.866896719561865
2021Q3,0.22193548387096776,3.2117131114910515
2021Q4,0.128,3.5689429457473825
2022Q1,0.3336206896551724,4.350929200323891
2022Q2,-0.03349999999999997,3.1337208213943826
2022Q3,-0.17453125,3.9901489528180027
