,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2009Q4,27187.0,13858.0,1961827.1034781353,,
1,2010Q2,27290.0,13946.0,1956833.5006453462,-4993.602832789067,-0.2551879263689129
2,2010Q3,26120.0,13348.0,1956847.467785436,13.967140089720488,0.000713757220205165
3,2010Q4,27432.0,14019.0,1956772.950995078,-74.51679035788402,-0.0038081469963078744
4,2011Q1,27514.0,14060.0,1956899.0042674253,126.0532723471988,0.0064414807341775645
5,2011Q2,27185.0,13892.0,1956881.658508494,-17.345758931245655,-0.0008863979513439935
6,2011Q3,26113.0,13345.0,1956762.8325215436,-118.82598695042543,-0.006072579925146201
7,2011Q4,26460.0,13522.0,1956811.1226149977,48.290093454066664,0.002467795327611071
8,2012Q1,26752.0,13671.0,1956842.9522346572,31.829619659576565,0.001626580182289441
9,2012Q2,26891.0,13743.0,1956705.2317543477,-137.72048030956648,-0.0070383866754467
10,2012Q3,26968.0,13782.0,1956755.1879262805,49.95617193286307,0.0025530108335016276
11,2012Q4,27019.0,13808.0,1956764.1946697566,9.006743476027623,0.00046028762691805553
12,2013Q1,26970.0,13783.0,1956758.3254734094,-5.8691963471937925,-0.00029994487672737127
13,2013Q2,27288.0,13945.0,1956830.405163141,72.07968973158859,0.003683491913320884
14,2013Q3,27729.0,14171.0,1956742.6434267166,-87.76173642440699,-0.004485093464857266
15,2013Q4,27730.0,14171.0,1956813.2100769177,70.56665020110086,0.0036062026685892545
16,2014Q1,25468.0,13015.0,1956819.0549366116,5.844859693897888,0.0002986918836032708
17,2014Q2,24573.0,12558.0,1956760.6306736742,-58.42426293739118,-0.0029857644323760158
18,2014Q3,24710.0,12628.0,1956762.7494456763,2.1187720021698624,0.00010827945302873745
19,2014Q4,25721.0,13144.0,1956862.4467437614,99.69729808508419,0.005094752482525355
20,2015Q1,25639.0,13102.0,1956876.812700351,14.365956589579582,0.000734126772638058
21,2015Q2,25050.0,12802.0,1956725.5116388064,-151.30106154456735,-0.007732360039495214
22,2015Q3,25349.0,12954.0,1956847.3058514744,121.79421266796999,0.006224001857670454
23,2015Q4,25609.0,13087.0,1956827.3859555284,-19.9198959460482,-0.0010179689884256815
24,2016Q1,25745.0,13157.0,1956753.0592080262,-74.3267475022003,-0.0037984735555892384
25,2016Q2,25869.0,13220.0,1956807.8668683812,54.807660354999825,0.0028008708102095084
26,2016Q3,25407.0,12984.0,1956792.9759704252,-14.89089795597829,-0.0007609848429976861
27,2016Q4,25897.0,14586.0,1775469.6284108048,-181323.3475596204,-10.21269779319853
28,2017Q1,26174.0,14742.0,1775471.442138109,1.8137273041065782,0.00010215468754160302
29,2017Q2,26194.0,14753.0,1775503.2874669558,31.84532884694636,0.001793594473845154
30,2017Q3,25612.0,14425.0,1775528.596187175,25.30872021918185,0.001425418901927605
31,2017Q4,25694.0,12675.0,2027140.0394477318,251611.44326055679,12.412139189412148
32,2018Q1,25859.0,12757.0,2027043.9758563926,-96.06359133915976,-0.004739097547135082
33,2018Q2,25061.0,12363.0,2027096.982932945,53.00707655237056,0.002614925531371283
34,2018Q3,26950.0,13295.0,2027077.848815344,-19.134117600973696,-0.0009439261354543425
35,2018Q4,27886.0,12627.0,2208442.226973945,181364.37815860077,8.212321605854736
36,2019Q1,27879.0,12624.0,2208412.547528517,-29.679445427842438,-0.0013439266798704508
37,2019Q2,27102.0,12272.0,2208441.9817470666,29.43421854963526,0.001332804700911829
38,2019Q3,27569.0,12484.0,2208346.683755207,-95.29799185972661,-0.004315354675094587
39,2019Q4,27748.0,12564.0,2208532.3145495066,185.63079429976642,0.008405165415821916
40,2020Q1,27635.0,12513.0,2208503.1567170145,-29.157832492142916,-0.0013202531498975366
41,2020Q2,27735.0,12559.0,2208376.4630941954,-126.693622819148,-0.005736957667155867
42,2020Q3,27426.0,12419.0,2208390.3695949754,13.906500780023634,0.0006297120731682109
43,2020Q4,27544.0,12472.0,2208466.9660038487,76.5964088733308,0.0034683067509010375
44,2021Q1,27541.0,12471.0,2208403.4961109776,-63.469892871100456,-0.002874017043663969
45,2021Q2,27543.0,12472.0,2208386.7864015396,-16.709709438029677,-0.0007566477729771852
46,2021Q3,26957.0,12206.0,2208504.014419138,117.22801759839058,0.005308028277649425
47,2021Q4,27397.0,12406.0,2208366.9192326292,-137.09518650872633,-0.0062079895018697625
48,2022Q1,27605.0,12500.0,2208400.0,33.08076737076044,0.0014979517918293987
49,2022Q2,27643.0,12517.0,2208436.526324199,36.52632419904694,0.0016539449408511035
