,quarter,amihud,ln_amihud
0,2009Q2,20.72882567694153,3.0315252763598184
1,2009Q3,12.084669383268615,2.4919376561700175
2,2009Q4,69.13556559948576,4.236069295894637
3,2010Q1,88.71913892766035,4.485475637490734
4,2010Q2,42.11846910427364,3.7404863405528586
5,2010Q3,1.6317452255904035,0.48965013258461837
6,2010Q4,9.890621227041235,2.291586957316247
7,2011Q1,18.624056833533306,2.9244541231730925
8,2011Q2,15.872590203985041,2.7645937350820757
9,2011Q3,13.285254924232877,2.586654767904818
10,2011Q4,14.96866634027756,2.7059591056370773
11,2012Q1,24.48355696366447,3.198001747892273
12,2012Q2,16.41116701007966,2.797962018361305
13,2012Q3,6.569493995525269,1.8824368121066695
14,2012Q4,25.465544276941497,3.2373263336381592
15,2013Q1,17.05532430554961,2.836462430966843
16,2013Q2,16.60159038707738,2.8094984972237973
17,2013Q3,32.91124990982485,3.4938145418701647
18,2013Q4,0.5571133796578539,-0.5849865056258224
19,2014Q1,2.005659203883665,0.6959727867140877
20,2014Q2,56.20094680562516,4.0289336038329155
21,2014Q3,21.242943688311016,3.0560247784991823
22,2014Q4,17.918771098300667,2.8858488280915098
23,2015Q1,9.106385889512026,2.208975913514363
24,2015Q2,47.01862569725538,3.850543814638314
25,2015Q3,36.74982767576556,3.604133536553037
26,2015Q4,26.724763605250416,3.285590611418308
27,2016Q1,28.664150782122736,3.355647240319641
28,2016Q2,25.671210558575098,3.2453701522664513
29,2016Q3,28.482460592712634,3.349288480027784
30,2016Q4,22.584946720399543,3.1172836100335855
31,2017Q1,50.402722153461596,3.920045184600163
32,2017Q2,8.139083340769282,2.09667756197417
33,2017Q3,5.015934713476447,1.6126197875912995
34,2017Q4,1.8533333333997988,0.616985819630244
35,2018Q1,19.95329824586703,2.9933944552784704
36,2018Q2,20.665977716491632,3.028488759522523
37,2018Q3,1.068376068663414,0.06613980277350057
38,2018Q4,1.5535352379638028,0.44053313254434023
39,2019Q1,6.073174864407826,1.803881510244991
40,2019Q2,20.352874736694325,3.0132221666141095
41,2019Q3,29.982734895241492,3.4006217125045066
42,2019Q4,26.406710883974082,3.27361817799942
43,2020Q1,18.145618767595412,2.8984291413564236
44,2020Q2,10.14820633846773,2.317296974449888
45,2020Q3,5.431174617395875,1.6921554305144626
46,2020Q4,2.42251429913231,0.8848059673999603
47,2021Q1,0.5773009253508874,-0.5493916140222199
48,2021Q2,0.5387754672490076,-0.6184563676855801
49,2021Q3,0.6070210821195301,-0.49919175686262224
50,2021Q4,0.03158168473807572,-3.45517792331682
51,2022Q1,0.05924782422958174,-2.82602622150476
52,2022Q2,0.6865282584398967,-0.3761078915624423
53,2022Q3,1.0386575664263262,0.03792907783826789
