,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2009Q4,455710.0,10127.0,44999506.27036635,,,0.654257538223348
1,2010Q1,456919.0,10154.0,44998916.68308056,-589.5872857868671,-0.0013102255104033426,0.6627132401784075
2,2010Q2,455679.0,10126.0,45000888.801106066,1972.1180255040526,0.00438239794378368,0.6895754674365699
3,2010Q3,510961.0,10219.0,50001076.4262648,5000187.625158735,10.00015996162077,0.6659842022224636
4,2010Q4,540477.0,10810.0,49997872.34042553,-3204.0858392715454,-0.00640844437830387,0.649522279974994
5,2011Q1,530242.0,10605.0,49999245.6388496,1373.2984240725636,0.00274663828728949,0.648804725428508
6,2011Q2,516437.0,10329.0,49998741.4076871,-504.2311625033617,-0.0010084877105043253,0.658579992318863
7,2011Q3,519285.0,10386.0,49998555.748122476,-185.65956462174654,-0.0003713298551203018,0.6585149801642866
8,2011Q4,544914.0,10898.0,50001284.639383376,2728.8912608996034,0.0054576422997544335,0.6410320930795664
9,2012Q1,524385.0,10488.0,49998569.79405034,-2714.84533303231,-0.005429845982025204,0.6506447662832945
10,2012Q2,527840.0,10557.0,49999052.7612011,482.9671507552266,0.0009659526012660896,0.6457925106389797
11,2012Q3,527901.0,10558.0,50000094.71490812,1041.953707024455,0.002083903466514403,0.6466012796727495
12,2012Q4,537089.0,10742.0,49998975.982126236,-1118.7327818870544,-0.0022375113888072067,0.6352260883795241
13,2013Q1,539026.0,10781.0,49997773.861422874,-1202.1207033619285,-0.0024043484549808266,0.6389062128321409
14,2013Q2,546465.0,10929.0,50001372.49519627,3598.633773393929,0.007197069987908145,0.6364981250738373
15,2013Q3,546111.0,10404.0,52490484.42906574,2489111.9338694736,4.742025075484289,0.6333686235163218
16,2013Q4,682912.0,11290.0,60488219.663418956,7997735.2343532145,13.221971615061353,0.5510153091615099
17,2014Q1,689179.0,11394.0,60486133.05248376,-2086.6109351962805,-0.003449734393477808,0.5266071767174529
18,2014Q2,636474.0,10522.0,60489830.83064056,3697.778156802058,0.0061130575272314745,0.5606903616700036
19,2014Q3,662395.0,10951.0,60487170.1214501,-2660.70919046551,-0.004398799257963572,0.5519150630787706
20,2014Q4,685847.0,11339.0,60485668.930240765,-1501.1912093311548,-0.0024818956884853274,0.5263634759096828
21,2015Q1,690986.0,11423.0,60490764.24757069,5095.317329928279,0.008423297991532495,0.5220457928018841
22,2015Q2,625648.0,10343.0,60489993.23213768,-771.0154330134392,-0.001274616497400775,0.5592690453516039
23,2015Q3,633729.0,10477.0,60487639.59148611,-2353.6406515687704,-0.0038911100969793093,0.5559170621400937
24,2015Q4,674813.0,11156.0,60488795.26712083,1155.6756347194314,0.0019105615008794994,0.5367067677154367
25,2016Q1,672317.0,11115.0,60487359.424201526,-1435.842919304967,-0.0023737900496454364,0.5208939946718217
26,2016Q2,624474.0,10324.0,60487601.704765595,242.28056406974792,0.0004005458263204037,0.555404858538301
27,2016Q3,689911.0,11406.0,60486673.68051902,-928.0242465734482,-0.0015342623260705729,0.5172122052482219
28,2016Q4,688584.0,11422.0,60285764.314480826,-200909.3660381958,-0.33326170501903507,0.5090506186497719
29,2017Q1,724683.0,12020.0,60289767.054908484,4002.740427657962,0.006639170498058972,0.4816788337039369
30,2017Q2,680354.0,11285.0,60288347.3637572,-1419.6911512836814,-0.0023548350773621297,0.5058375251086683
31,2017Q3,723101.0,11994.0,60288560.94714024,213.58338303864002,0.00035426850414609415,0.47516338032118466
32,2017Q4,713903.0,11841.0,60290769.36069588,2208.4135556444526,0.003662938089962637,0.484788366120746
33,2018Q1,744669.0,12352.0,60287321.89119171,-3447.4695041701198,-0.005718398820886772,0.4506104251504961
34,2018Q2,709278.0,11765.0,60287122.821929455,-199.06926225870848,-0.0003302019617799657,0.4542247909098064
35,2018Q3,731561.0,12134.0,60290176.363936044,3053.5420065894723,0.005064742203036611,0.4441460036546238
36,2018Q4,760902.0,12621.0,60288566.67458997,-1609.689346075058,-0.0026699744824975236,0.4236887606169758
37,2019Q1,787760.0,13067.0,60286217.188337035,-2349.4862529337406,-0.0038972195677725685,0.40356170451556994
38,2019Q2,746234.0,12378.0,60287122.31378252,905.125445485115,0.0015013578534634918,0.42886466926719785
39,2019Q3,750033.0,12441.0,60287195.56305763,73.24927511066198,0.0001215005515292988,0.4177993187646422
40,2019Q4,780083.0,12939.0,60289280.46989721,2084.906839579344,0.0034581717070256792,0.38437164813451186
41,2020Q1,786182.0,13041.0,60285407.56076988,-3872.90912733227,-0.006424289532136342,0.37458126105300493
42,2020Q2,783546.0,12954.0,60486799.44418713,201391.88341724873,0.3329517932306514,0.38715662028532766
43,2020Q3,815903.0,13534.0,60285429.28919758,-201370.15498954803,-0.33402790253602976,0.38047238493300384
44,2020Q4,804263.0,13341.0,60285061.08987332,-368.19932425767183,-0.0006107637905662203,0.3894832645667787
45,2021Q1,832932.0,13817.0,60283129.47817905,-1931.6116942688823,-0.0032042326119915126,0.35090475495168033
46,2021Q2,836841.0,13881.0,60286794.89950292,3665.421323865652,0.006079973781946525,0.33005502251582514
47,2021Q3,852114.0,14135.0,60283975.94623276,-2818.9532701596618,-0.004676123672854433,0.3190374125582279
48,2021Q4,856762.0,14212.0,60284407.542921476,431.5966887176037,0.000715934196434317,0.3394205182168977
49,2022Q1,900287.0,14934.0,60284384.625686355,-22.917235121130943,-3.801520951640638e-05,0.2909339358807464
50,2022Q2,942615.0,15636.0,60284919.41673062,534.7910442650318,0.0008871058457724562,0.266883917149025
