quarter,change_perc_mean,change_perc_stdv
2011Q1,-13.563191489361703,17.835121201960522
2011Q2,5.069166666666666,7.701293374022857
2011Q3,0.62203125,4.97625
2011Q4,-0.5195384615384616,4.188652987077571
2012Q1,0.0,0.0
2012Q2,-0.5450000000000002,5.472755397361027
2012Q3,-0.27854838709677426,2.828148236645311
2012Q4,0.3964516129032257,6.573561077173104
2013Q1,-0.3881481481481482,6.336786005799659
2013Q2,0.1411864406779661,2.0345380605466623
2013Q3,-0.05960000000000001,3.2546921001327713
2013Q4,-0.4964864864864865,4.039954768872361
2014Q1,1.4021428571428574,7.351725515275176
2014Q2,3.876393442622951,6.389701618695217
2014Q3,13.06111111111111,33.72877890118281
2014Q4,1.032,4.684492768699723
2015Q1,-0.08232142857142863,4.323760985350781
2015Q2,-0.2998360655737705,3.4966410033074498
2015Q3,-0.0549230769230769,5.119359433524411
2015Q4,0.3898360655737704,6.927858373216376
2016Q1,0.4623728813559322,5.278808100510049
2016Q2,0.004354838709677412,3.9232508354586537
2016Q3,0.35400000000000004,3.4808816232385724
2016Q4,0.11184615384615382,3.272792620753955
2017Q1,-0.39033898305084747,2.891966856121003
2017Q2,0.2859677419354838,1.418434209083994
2017Q3,-0.19125,1.252151798698595
2017Q4,-0.08215384615384615,1.8593173245741403
2018Q1,-0.32372881355932204,1.7432964199896035
2018Q2,0.23419354838709677,1.5365477041637237
2018Q3,0.0,0.0
2018Q4,0.34553846153846157,1.62026042541125
2019Q1,-0.047931034482758615,0.3650318833500286
2019Q2,0.16540983606557375,2.169589495557852
2019Q3,-0.15384615384615385,1.2403473458920848
2019Q4,0.0,0.0
2020Q1,0.0,0.0
2020Q2,0.0,0.0
2020Q3,-0.31,2.3863131866961633
2020Q4,0.0,0.0
2021Q1,0.7631034482758621,3.14709680019736
2021Q2,0.0,0.0
2021Q3,0.16129032258064516,1.2700012700019052
2021Q4,-0.2886153846153846,3.220885396965346
2022Q1,0.02913793103448278,3.255352022079763
2022Q2,-0.19116666666666668,2.736604410682145
2022Q3,0.53828125,5.466962406253485
