quarter,quarter,change_perc_mean,change_perc_stdv
2009Q1,2009Q1,0.002820512820512635,4.438892078885137
2009Q2,2009Q2,0.5530645161290322,4.780057475719227
2009Q3,2009Q3,0.8890769230769231,3.8797751719159423
2009Q4,2009Q4,-0.114848484848485,5.7000221976421335
2010Q1,2010Q1,-0.00344827586206898,4.442398416425538
2010Q2,2010Q2,0.4530645161290321,4.353931928920234
2010Q3,2010Q3,-0.6271874999999999,4.226940605795241
2010Q4,2010Q4,-0.5003030303030302,4.196781539629541
2011Q1,2011Q1,-0.28561403508771926,3.4902988091196936
2011Q2,2011Q2,-0.30262295081967217,3.777108639175096
2011Q3,2011Q3,-0.2847692307692307,3.5760265605191552
2011Q4,2011Q4,-0.07815384615384613,3.833345019491663
2012Q1,2012Q1,1.829322033898305,4.418318787926864
2012Q2,2012Q2,-0.38548387096774195,3.5161326917926417
2012Q3,2012Q3,0.3396875000000001,2.8070494981244334
2012Q4,2012Q4,0.1615384615384616,2.78722769452979
2013Q1,2013Q1,0.8182758620689656,2.98876383407896
2013Q2,2013Q2,-0.027049180327868814,2.025617061755335
2013Q3,2013Q3,0.4220689655172413,2.548537081997868
2013Q4,2013Q4,0.18749999999999997,1.6498215391705586
2014Q1,2014Q1,0.5414285714285713,2.4684020805308102
2014Q2,2014Q2,-0.09327868852459026,3.423892386018909
2014Q3,2014Q3,0.19171874999999997,2.7881879845346105
2014Q4,2014Q4,0.19651515151515153,1.9161511843550763
2015Q1,2015Q1,0.08928571428571433,2.8591440913435853
2015Q2,2015Q2,-0.07704918032786888,2.2041282057859033
2015Q3,2015Q3,-0.0236923076923077,1.8106814749828732
2015Q4,2015Q4,0.20757575757575755,1.4642898626517913
2016Q1,2016Q1,0.2176271186440678,3.1390957071364114
2016Q2,2016Q2,0.4054838709677419,3.4226950733755643
2016Q3,2016Q3,-0.19138461538461532,2.9689786106310394
2016Q4,2016Q4,-0.1733846153846154,1.3720186734824764
2017Q1,2017Q1,0.18372881355932202,2.8489725300385205
2017Q2,2017Q2,-0.06451612903225806,2.353256325987707
2017Q3,2017Q3,0.04796875000000002,2.131663170396254
2017Q4,2017Q4,0.08799999999999997,1.6577151067056124
2018Q1,2018Q1,0.12915254237288135,2.7948562902636307
2018Q2,2018Q2,-0.040967741935483845,2.155492191845355
2018Q3,2018Q3,-0.1871875,2.0630686565759344
2018Q4,2018Q4,-0.03815384615384616,2.0586129222030887
2019Q1,2019Q1,0.22862068965517238,2.6946727485950066
2019Q2,2019Q2,0.23278688524590163,2.8394378147487465
2019Q3,2019Q3,-0.20707692307692302,2.705598202729922
2019Q4,2019Q4,0.009090909090909085,1.3540273003414405
2020Q1,2020Q1,-0.016271186440677994,1.9318134220477245
2020Q2,2020Q2,-0.08816666666666666,2.717114304044447
2020Q3,2020Q3,0.3261538461538462,2.526786306449665
2020Q4,2020Q4,0.20863636363636354,3.6956693518281583
2021Q1,2021Q1,0.7498275862068968,4.57364398133453
2021Q2,2021Q2,-0.20650000000000004,3.242562715831676
2021Q3,2021Q3,0.4088709677419355,3.084677683212177
2021Q4,2021Q4,1.1723076923076923,4.64897998531357
2022Q1,2022Q1,-0.23293103448275854,3.6405045961320486
2022Q2,2022Q2,-0.9291666666666665,4.121918794447873
2022Q3,2022Q3,0.2046875,2.465602710533567
