,date,quarter,price,shares_est,market_cap
0,2008-03-31,2008Q1,20.9,5550251.486053955,116000256059
1,2008-06-30,2008Q2,21.6,5550104.384133612,119882254697
2,2008-09-30,2008Q3,11.5,5549958.711808423,63824525186
3,2008-12-31,2008Q4,9.6,5550037.83579266,53280363224
4,2009-03-31,2009Q1,8.0,5549906.367041199,44399250936
5,2009-06-30,2009Q2,12.3,5550182.81535649,68267248629
6,2009-09-30,2009Q3,18.8,5549852.395009999,104337225026
7,2009-12-31,2009Q4,16.7,5549852.395009999,92682534997
8,2010-03-31,2010Q1,18.1,5549959.817840879,100454272703
9,2010-06-30,2010Q2,23.5,5549986.925825852,130424692757
10,2010-09-30,2010Q3,26.0,5549926.003308088,144298076086
11,2010-12-31,2010Q4,32.0,5550022.911257064,177600733160
12,2011-03-31,2011Q1,24.9,5550094.66708741,138197357210
13,2011-06-30,2011Q2,15.3,15000595.744680852,229509114894
14,2011-09-30,2011Q3,10.7,14999915.2901313,160499093604
15,2011-12-30,2011Q4,12.2,14999662.019433882,182995876637
16,2012-03-30,2012Q1,8.0,15000500.584014684,120004004672
17,2012-06-29,2012Q2,9.8,15000498.96049896,147004889813
18,2012-09-28,2012Q3,5.2,15000577.748431826,78003004292
19,2012-12-28,2012Q4,6.6,15000411.827691294,99002718063
20,2013-03-29,2013Q1,4.8,14999501.61973586,71997607775
21,2013-06-28,2013Q2,3.7,15000248.921340857,55500921009
22,2013-09-30,2013Q3,3.1,15000083.125519536,46500257689
23,2013-12-31,2013Q4,4.8,14999917.864476386,71999605749
24,2014-03-31,2014Q1,6.4,15000413.564929694,96002646816
25,2014-06-30,2014Q2,4.7,15000251.193167549,70501180608
26,2014-09-30,2014Q3,5.1,15000000.0,76500000000
27,2014-12-31,2014Q4,5.2,15000330.660494337,78001719435
28,2015-03-31,2015Q1,4.5,15000000.0,67500000000
29,2015-06-30,2015Q2,4.2,15000333.583520977,63001401051
30,2015-09-30,2015Q3,3.0,15000083.27781479,45000249833
31,2015-12-31,2015Q4,2.9,14999501.03950104,43498553015
32,2016-03-31,2016Q1,3.0,15000411.692054342,45001235076
33,2016-06-30,2016Q2,3.4,14999754.017710725,50999163660
34,2016-09-30,2016Q3,2.8,15000489.955903968,42001371877
35,2016-12-30,2016Q4,3.1,14959772.450223489,46375294596
36,2017-03-31,2017Q1,3.0,14959767.289413309,44879301868
37,2017-06-30,2017Q2,2.6,14960398.505603986,38897036115
38,2017-09-29,2017Q3,2.5,14960057.574667146,37400143937
39,2017-12-29,2017Q4,1.6,14960321.285140565,23936514056
40,2018-03-30,2018Q1,2.4,14960132.890365448,35904318937
41,2018-06-29,2018Q2,2.0,14959925.518134717,29919851036
42,2018-09-28,2018Q3,2.7,14960340.871845298,40392920354
43,2018-12-28,2018Q4,3.3,14960564.516129032,49369862903
44,2019-03-29,2019Q1,2.6,14959791.632752726,38895458245
45,2019-06-28,2019Q2,2.4,14960367.838541666,35904882812
46,2019-09-30,2019Q3,3.0,14960293.518141052,44880880554
47,2019-12-31,2019Q4,1.9,14960375.050958011,28424712597
48,2020-03-31,2020Q1,1.7,14959761.671563828,25431594842
49,2020-06-30,2020Q2,2.0,14960274.084346194,29920548169
50,2020-09-30,2020Q3,1.9,14959386.723209918,28422834774
51,2020-12-31,2020Q4,6.1,14960590.731070496,91259603460
52,2021-03-31,2021Q1,7.2,14959937.989556136,107711553525
53,2021-06-30,2021Q2,5.0,14959938.115788616,74799690579
54,2021-09-30,2021Q3,4.7,14959779.43561466,70310963347
55,2022-03-31,2022Q1,8.6,14960338.78980373,128658913592
56,2022-06-30,2022Q2,4.5,14960508.101946097,67322286459
